Caráter,Capital,Ano,Mês,Quantidade,Tipo,Período
Público,Públicos,1990,Dez,30,Público,Dez 1990
Privado,Nacionais,1990,Dez,124,Privado,Dez 1990
Privado,Nacionais com Participação Estrangeira,1990,Dez,31,Privado,Dez 1990
Privado,Controle Estrangeiro,1990,Dez,13,Privado,Dez 1990
Privado,Estrangeiros,1990,Dez,19,Privado,Dez 1990
Público,Públicos,1991,Dez,29,Público,Dez 1991
Privado,Nacionais,1991,Dez,132,Privado,Dez 1991
Privado,Nacionais com Participação Estrangeira,1991,Dez,31,Privado,Dez 1991
Privado,Controle Estrangeiro,1991,Dez,15,Privado,Dez 1991
Privado,Estrangeiros,1991,Dez,19,Privado,Dez 1991
Público,Públicos,1992,Dez,30,Público,Dez 1992
Privado,Nacionais,1992,Dez,139,Privado,Dez 1992
Privado,Nacionais com Participação Estrangeira,1992,Dez,32,Privado,Dez 1992
Privado,Controle Estrangeiro,1992,Dez,18,Privado,Dez 1992
Privado,Estrangeiros,1992,Dez,19,Privado,Dez 1992
Público,Públicos,1993,Dez,30,Público,Dez 1993
Privado,Nacionais,1993,Dez,144,Privado,Dez 1993
Privado,Nacionais com Participação Estrangeira,1993,Dez,32,Privado,Dez 1993
Privado,Controle Estrangeiro,1993,Dez,19,Privado,Dez 1993
Privado,Estrangeiros,1993,Dez,19,Privado,Dez 1993
Público,Públicos,1994,Dez,32,Público,Dez 1994
Privado,Nacionais,1994,Dez,145,Privado,Dez 1994
Privado,Nacionais com Participação Estrangeira,1994,Dez,30,Privado,Dez 1994
Privado,Controle Estrangeiro,1994,Dez,21,Privado,Dez 1994
Privado,Estrangeiros,1994,Dez,17,Privado,Dez 1994
Público,Públicos,1995,Dez,32,Público,Dez 1995
Privado,Nacionais,1995,Dez,144,Privado,Dez 1995
Privado,Nacionais com Participação Estrangeira,1995,Dez,28,Privado,Dez 1995
Privado,Controle Estrangeiro,1995,Dez,21,Privado,Dez 1995
Privado,Estrangeiros,1995,Dez,17,Privado,Dez 1995
Público,Públicos,1996,Dez,32,Público,Dez 1996
Privado,Nacionais,1996,Dez,131,Privado,Dez 1996
Privado,Nacionais com Participação Estrangeira,1996,Dez,26,Privado,Dez 1996
Privado,Controle Estrangeiro,1996,Dez,25,Privado,Dez 1996
Privado,Estrangeiros,1996,Dez,16,Privado,Dez 1996
Público,Públicos,1997,Dez,27,Público,Dez 1997
Privado,Nacionais,1997,Dez,118,Privado,Dez 1997
Privado,Nacionais com Participação Estrangeira,1997,Dez,23,Privado,Dez 1997
Privado,Controle Estrangeiro,1997,Dez,33,Privado,Dez 1997
Privado,Estrangeiros,1997,Dez,16,Privado,Dez 1997
Público,Públicos,1998,Dez,22,Público,Dez 1998
Privado,Nacionais,1998,Dez,105,Privado,Dez 1998
Privado,Nacionais com Participação Estrangeira,1998,Dez,18,Privado,Dez 1998
Privado,Controle Estrangeiro,1998,Dez,43,Privado,Dez 1998
Privado,Estrangeiros,1998,Dez,16,Privado,Dez 1998
Público,Públicos,1999,Dez,19,Público,Dez 1999
Privado,Nacionais,1999,Dez,95,Privado,Dez 1999
Privado,Nacionais com Participação Estrangeira,1999,Dez,15,Privado,Dez 1999
Privado,Controle Estrangeiro,1999,Dez,50,Privado,Dez 1999
Privado,Estrangeiros,1999,Dez,15,Privado,Dez 1999
Público,Públicos,2000,Dez,17,Público,Dez 2000
Privado,Nacionais,2000,Dez,91,Privado,Dez 2000
Privado,Nacionais com Participação Estrangeira,2000,Dez,14,Privado,Dez 2000
Privado,Controle Estrangeiro,2000,Dez,57,Privado,Dez 2000
Privado,Estrangeiros,2000,Dez,13,Privado,Dez 2000
Público,Públicos,2001,Dez,15,Público,Dez 2001
Privado,Nacionais,2001,Dez,81,Privado,Dez 2001
Privado,Nacionais com Participação Estrangeira,2001,Dez,14,Privado,Dez 2001
Privado,Controle Estrangeiro,2001,Dez,61,Privado,Dez 2001
Privado,Estrangeiros,2001,Dez,11,Privado,Dez 2001
Público,Públicos,2002,Dez,15,Público,Dez 2002
Privado,Nacionais,2002,Dez,76,Privado,Dez 2002
Privado,Nacionais com Participação Estrangeira,2002,Dez,11,Privado,Dez 2002
Privado,Controle Estrangeiro,2002,Dez,56,Privado,Dez 2002
Privado,Estrangeiros,2002,Dez,9,Privado,Dez 2002
Público,Públicos,2003,Dez,15,Público,Dez 2003
Privado,Nacionais,2003,Dez,78,Privado,Dez 2003
Privado,Nacionais com Participação Estrangeira,2003,Dez,10,Privado,Dez 2003
Privado,Controle Estrangeiro,2003,Dez,53,Privado,Dez 2003
Privado,Estrangeiros,2003,Dez,9,Privado,Dez 2003
Público,Públicos,2004,Dez,17,Público,Dez 2004
Privado,Nacionais,2004,Dez,82,Privado,Dez 2004
Privado,Nacionais com Participação Estrangeira,2004,Dez,10,Privado,Dez 2004
Privado,Controle Estrangeiro,2004,Dez,49,Privado,Dez 2004
Privado,Estrangeiros,2004,Dez,9,Privado,Dez 2004
Público,Públicos,2005,Dez,14,Público,Dez 2005
Privado,Nacionais,2005,Dez,77,Privado,Dez 2005
Privado,Nacionais com Participação Estrangeira,2005,Dez,13,Privado,Dez 2005
Privado,Controle Estrangeiro,2005,Dez,49,Privado,Dez 2005
Privado,Estrangeiros,2005,Dez,8,Privado,Dez 2005
Público,Públicos,2006,Dez,14,Público,Dez 2006
Privado,Nacionais,2006,Dez,78,Privado,Dez 2006
Privado,Nacionais com Participação Estrangeira,2006,Dez,12,Privado,Dez 2006
Privado,Controle Estrangeiro,2006,Dez,48,Privado,Dez 2006
Privado,Estrangeiros,2006,Dez,8,Privado,Dez 2006
Público,Públicos,2007,Dez,14,Público,Dez 2007
Privado,Nacionais,2007,Dez,77,Privado,Dez 2007
Privado,Nacionais com Participação Estrangeira,2007,Dez,10,Privado,Dez 2007
Privado,Controle Estrangeiro,2007,Dez,49,Privado,Dez 2007
Privado,Estrangeiros,2007,Dez,7,Privado,Dez 2007
Público,Públicos,2008,Dez,13,Público,Dez 2008
Privado,Nacionais,2008,Dez,83,Privado,Dez 2008
Privado,Nacionais com Participação Estrangeira,2008,Dez,2,Privado,Dez 2008
Privado,Controle Estrangeiro,2008,Dez,56,Privado,Dez 2008
Privado,Estrangeiros,2008,Dez,6,Privado,Dez 2008
Público,Públicos,2009,Dez,14,Público,Dez 2009
Privado,Nacionais,2009,Dez,83,Privado,Dez 2009
Privado,Nacionais com Participação Estrangeira,2009,Dez,6,Privado,Dez 2009
Privado,Controle Estrangeiro,2009,Dez,56,Privado,Dez 2009
Privado,Estrangeiros,2009,Dez,6,Privado,Dez 2009
Público,Públicos,2010,Dez,10,Público,Dez 2010
Privado,Nacionais,2010,Dez,78,Privado,Dez 2010
Privado,Nacionais com Participação Estrangeira,2010,Dez,11,Privado,Dez 2010
Privado,Controle Estrangeiro,2010,Dez,55,Privado,Dez 2010
Privado,Estrangeiros,2010,Dez,6,Privado,Dez 2010
Público,Públicos,2011,Dez,10,Público,Dez 2011
Privado,Nacionais,2011,Dez,73,Privado,Dez 2011
Privado,Nacionais com Participação Estrangeira,2011,Dez,16,Privado,Dez 2011
Privado,Controle Estrangeiro,2011,Dez,56,Privado,Dez 2011
Privado,Estrangeiros,2011,Dez,6,Privado,Dez 2011
Público,Públicos,2012,Dez,10,Público,Dez 2012 6
Privado,Nacionais,2012,Dez,71,Privado,Dez 2012 6
Privado,Nacionais com Participação Estrangeira,2012,Dez,16,Privado,Dez 2012 6
Privado,Controle Estrangeiro,2012,Dez,59,Privado,Dez 2012 6
Privado,Estrangeiros,2012,Dez,6,Privado,Dez 2012 6
Público,Públicos,2013,Dez,10,Público,Dez 2013 6
Privado,Nacionais,2013,Dez,67,Privado,Dez 2013 6
Privado,Nacionais com Participação Estrangeira,2013,Dez,15,Privado,Dez 2013 6
Privado,Controle Estrangeiro,2013,Dez,58,Privado,Dez 2013 6
Privado,Estrangeiros,2013,Dez,6,Privado,Dez 2013 6
Público,Públicos,2014,Dez,10,Público,Dez 2014
Privado,Nacionais,2014,Dez,63,Privado,Dez 2014
Privado,Nacionais com Participação Estrangeira,2014,Dez,16,Privado,Dez 2014
Privado,Controle Estrangeiro,2014,Dez,58,Privado,Dez 2014
Privado,Estrangeiros,2014,Dez,6,Privado,Dez 2014
Público,Públicos,2015,Dez,10,Público,Dez 2015
Privado,Nacionais,2015,Dez,72,Privado,Dez 2015
Privado,Nacionais com Participação Estrangeira,2015,Dez,6,Privado,Dez 2015
Privado,Controle Estrangeiro,2015,Dez,60,Privado,Dez 2015
Privado,Estrangeiros,2015,Dez,6,Privado,Dez 2015
Público,Públicos,2016,Dez,10,Público,Dez 2016
Privado,Nacionais,2016,Dez,63,Privado,Dez 2016
Privado,Nacionais com Participação Estrangeira,2016,Dez,17,Privado,Dez 2016
Privado,Controle Estrangeiro,2016,Dez,59,Privado,Dez 2016
Privado,Estrangeiros,2016,Dez,6,Privado,Dez 2016
Público,Públicos,2017,Dez,10,Público,Dez 2017
Privado,Nacionais,2017,Dez,65,Privado,Dez 2017
Privado,Nacionais com Participação Estrangeira,2017,Dez,16,Privado,Dez 2017
Privado,Controle Estrangeiro,2017,Dez,57,Privado,Dez 2017
Privado,Estrangeiros,2017,Dez,6,Privado,Dez 2017
Público,Públicos,2018,Dez,10,Público,Dez 2018
Privado,Nacionais,2018,Dez,64,Privado,Dez 2018
Privado,Nacionais com Participação Estrangeira,2018,Dez,16,Privado,Dez 2018
Privado,Controle Estrangeiro,2018,Dez,56,Privado,Dez 2018
Privado,Estrangeiros,2018,Dez,6,Privado,Dez 2018
Público,Públicos,2019,Dez,10,Público,Dez 2019
Privado,Nacionais,2019,Dez,66,Privado,Dez 2019
Privado,Nacionais com Participação Estrangeira,2019,Dez,12,Privado,Dez 2019
Privado,Controle Estrangeiro,2019,Dez,60,Privado,Dez 2019
Privado,Estrangeiros,2019,Dez,5,Privado,Dez 2019
