Data;25354 - Indicador de Custo do Crédito - ICC - Recursos livres - Total - % a.a.;25355 - Indicador de Custo do Crédito - ICC - Recursos livres - Pessoas jurídicas - Total - % a.a.;25356 - Indicador de Custo do Crédito - ICC - Recursos livres - Pessoas físicas - Total - % a.a.;27644 - Indicador de Custo do Crédito - ICC - Recursos Livres - Crédito não rotativo - Total - % a.a.;27648 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Crédito não rotativo - Total - % a.a.;27649 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Desconto de duplicatas e recebíveis - % a.a.;27650 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Desconto de cheques - % a.a.;27651 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Antecipação de faturas de cartão - % a.a.;27652 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Capital de giro com prazo de até 365 dias - % a.a.;27653 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Capital de giro com prazo superior a 365 dias - % a.a.
01/2013;28,51 ;20,64 ;36,80 ;25,42 ;17,48 ;24,93 ;30,67 ;29,68 ;18,69 ;17,99
02/2013;28,74 ;20,56 ;37,41 ;25,24 ;17,25 ;25,74 ;31,17 ;29,83 ;18,53 ;17,68
03/2013;28,48 ;20,41 ;37,20 ;25,11 ;17,27 ;25,76 ;31,72 ;30,27 ;18,51 ;17,47
04/2013;28,37 ;20,32 ;36,96 ;24,98 ;17,12 ;25,98 ;32,21 ;30,47 ;18,45 ;17,28
05/2013;28,04 ;20,04 ;36,58 ;24,79 ;16,97 ;25,63 ;32,35 ;28,19 ;18,32 ;17,15
06/2013;28,00 ;20,01 ;36,65 ;24,72 ;17,01 ;25,92 ;32,38 ;26,96 ;18,44 ;17,03
07/2013;27,95 ;19,96 ;36,41 ;24,70 ;16,90 ;26,28 ;32,55 ;27,62 ;18,42 ;16,92
08/2013;28,03 ;20,04 ;36,48 ;24,76 ;16,92 ;26,46 ;32,76 ;27,49 ;18,54 ;16,92
09/2013;28,23 ;20,24 ;36,79 ;24,81 ;17,06 ;26,08 ;32,98 ;27,67 ;19,02 ;17,00
10/2013;28,23 ;20,25 ;36,69 ;24,93 ;17,12 ;26,50 ;33,39 ;28,01 ;19,12 ;17,07
11/2013;28,35 ;20,43 ;36,84 ;25,01 ;17,30 ;26,27 ;33,87 ;27,84 ;19,19 ;17,21
12/2013;27,93 ;20,36 ;36,16 ;24,93 ;17,43 ;25,37 ;34,58 ;27,51 ;19,30 ;17,30
01/2014;28,51 ;20,67 ;36,77 ;25,19 ;17,43 ;27,01 ;35,55 ;28,21 ;19,61 ;17,45
02/2014;29,21 ;20,93 ;38,01 ;25,44 ;17,57 ;27,48 ;36,60 ;29,51 ;19,86 ;17,58
03/2014;29,30 ;20,99 ;38,22 ;25,57 ;17,71 ;26,96 ;37,13 ;29,62 ;20,01 ;17,77
04/2014;29,56 ;21,14 ;38,55 ;25,75 ;17,77 ;27,86 ;37,70 ;28,68 ;20,19 ;17,93
05/2014;29,66 ;21,24 ;38,68 ;25,85 ;17,81 ;27,87 ;37,38 ;28,27 ;20,22 ;18,06
06/2014;30,02 ;21,40 ;39,35 ;25,94 ;17,89 ;27,62 ;37,22 ;25,78 ;20,96 ;18,16
07/2014;29,92 ;21,27 ;39,16 ;26,08 ;17,90 ;28,42 ;37,14 ;27,92 ;20,86 ;18,29
08/2014;30,11 ;21,39 ;39,43 ;26,25 ;18,04 ;28,69 ;37,17 ;27,80 ;20,81 ;18,42
09/2014;30,23 ;21,48 ;39,62 ;26,32 ;18,11 ;28,05 ;37,14 ;26,35 ;20,69 ;18,56
10/2014;30,43 ;21,53 ;39,88 ;26,46 ;18,19 ;28,35 ;37,23 ;30,91 ;21,03 ;18,72
11/2014;30,61 ;21,78 ;40,13 ;26,56 ;18,39 ;28,45 ;37,34 ;29,75 ;21,19 ;18,89
12/2014;30,22 ;21,88 ;39,23 ;26,60 ;18,65 ;28,46 ;37,45 ;26,64 ;21,40 ;19,06
01/2015;30,99 ;22,27 ;40,23 ;26,79 ;18,58 ;29,32 ;38,12 ;30,59 ;21,55 ;19,17
02/2015;31,78 ;22,60 ;41,61 ;27,04 ;18,73 ;30,26 ;38,76 ;29,63 ;21,72 ;19,31
03/2015;31,95 ;22,90 ;41,73 ;27,28 ;19,00 ;30,30 ;39,56 ;29,23 ;21,96 ;19,53
04/2015;32,47 ;23,15 ;42,51 ;27,53 ;19,07 ;31,08 ;40,11 ;31,39 ;22,27 ;19,73
05/2015;32,78 ;23,19 ;43,16 ;27,71 ;19,18 ;31,30 ;40,42 ;31,86 ;22,34 ;19,90
06/2015;33,23 ;23,57 ;43,80 ;27,99 ;19,50 ;31,42 ;40,68 ;32,38 ;22,63 ;20,13
07/2015;33,48 ;23,60 ;44,21 ;28,18 ;19,55 ;32,41 ;41,09 ;32,77 ;23,04 ;20,35
08/2015;33,89 ;23,84 ;44,81 ;28,40 ;19,68 ;32,41 ;41,59 ;32,31 ;23,24 ;20,60
09/2015;34,41 ;24,18 ;45,70 ;28,64 ;19,96 ;32,06 ;42,04 ;29,65 ;23,50 ;21,02
10/2015;34,94 ;24,64 ;46,18 ;28,97 ;20,20 ;32,12 ;42,45 ;30,71 ;23,82 ;21,43
11/2015;35,46 ;25,01 ;46,87 ;29,21 ;20,47 ;32,24 ;42,70 ;30,38 ;24,26 ;21,70
12/2015;34,77 ;24,82 ;45,87 ;29,30 ;20,79 ;31,83 ;42,98 ;29,49 ;24,53 ;22,02
01/2016;35,76 ;25,21 ;47,26 ;29,51 ;20,69 ;32,98 ;43,59 ;29,88 ;24,81 ;22,25
02/2016;36,56 ;25,57 ;48,46 ;29,83 ;20,91 ;35,13 ;44,02 ;29,61 ;25,04 ;22,47
03/2016;36,80 ;25,66 ;48,74 ;30,16 ;21,06 ;34,15 ;44,43 ;27,98 ;25,76 ;22,65
04/2016;37,33 ;25,78 ;49,62 ;30,49 ;21,12 ;34,52 ;44,84 ;28,31 ;25,73 ;22,78
05/2016;37,44 ;25,61 ;49,96 ;30,60 ;21,03 ;33,99 ;45,08 ;28,47 ;25,49 ;22,88
06/2016;37,76 ;25,83 ;50,26 ;30,96 ;21,36 ;33,42 ;45,57 ;27,54 ;25,43 ;23,02
07/2016;37,99 ;25,96 ;50,35 ;31,20 ;21,43 ;34,49 ;45,81 ;29,56 ;25,25 ;23,11
08/2016;38,22 ;25,97 ;50,61 ;31,41 ;21,55 ;35,05 ;46,13 ;30,52 ;25,28 ;23,20
09/2016;38,57 ;26,07 ;51,26 ;31,55 ;21,62 ;33,27 ;46,22 ;28,86 ;25,27 ;23,21
10/2016;38,79 ;26,24 ;51,39 ;31,70 ;21,63 ;33,12 ;46,64 ;30,26 ;25,07 ;23,23
11/2016;38,72 ;26,17 ;51,21 ;31,87 ;21,74 ;33,39 ;46,93 ;29,81 ;24,93 ;23,24
12/2016;37,73 ;25,66 ;49,85 ;31,76 ;21,82 ;31,95 ;46,62 ;27,80 ;24,64 ;23,16
01/2017;38,50 ;25,93 ;50,73 ;31,95 ;21,68 ;32,78 ;46,95 ;28,89 ;24,48 ;23,14
02/2017;38,82 ;25,80 ;51,61 ;32,00 ;21,60 ;32,46 ;46,56 ;28,35 ;24,37 ;23,09
03/2017;38,23 ;25,06 ;51,11 ;31,87 ;21,24 ;31,04 ;45,90 ;26,01 ;23,94 ;22,95
04/2017;37,72 ;24,89 ;50,19 ;31,88 ;21,04 ;31,13 ;45,17 ;27,15 ;23,74 ;22,83
05/2017;37,15 ;24,62 ;48,99 ;32,08 ;20,82 ;30,33 ;44,46 ;26,35 ;23,38 ;22,70
06/2017;36,76 ;24,26 ;48,63 ;31,93 ;20,53 ;28,43 ;44,20 ;24,25 ;22,75 ;22,49
07/2017;36,79 ;24,09 ;48,50 ;32,00 ;20,32 ;28,53 ;43,77 ;24,42 ;22,44 ;22,36
08/2017;36,40 ;23,58 ;48,16 ;31,86 ;19,99 ;27,16 ;43,02 ;23,57 ;22,23 ;22,19
09/2017;35,65 ;23,13 ;47,18 ;31,62 ;19,62 ;24,69 ;41,82 ;22,09 ;21,75 ;21,97
10/2017;35,67 ;22,89 ;47,29 ;31,54 ;19,39 ;24,07 ;40,98 ;22,84 ;21,38 ;21,77
11/2017;35,33 ;22,74 ;46,69 ;31,40 ;19,21 ;23,16 ;40,46 ;22,90 ;20,86 ;21,57
12/2017;33,97 ;22,02 ;45,11 ;30,72 ;18,83 ;21,57 ;40,10 ;19,97 ;20,07 ;21,22
01/2018;34,45 ;22,11 ;45,49 ;30,88 ;18,75 ;22,65 ;40,12 ;21,28 ;19,78 ;21,04
02/2018;34,86 ;21,91 ;46,54 ;30,74 ;18,42 ;22,04 ;40,06 ;20,64 ;19,48 ;20,87
03/2018;34,21 ;21,28 ;46,09 ;30,41 ;18,00 ;21,11 ;39,58 ;20,24 ;19,20 ;20,61
04/2018;34,04 ;20,89 ;46,07 ;30,18 ;17,60 ;20,51 ;38,80 ;20,64 ;19,14 ;20,27
05/2018;33,33 ;20,42 ;45,10 ;29,95 ;17,29 ;20,09 ;38,19 ;20,36 ;19,07 ;20,04
06/2018;32,98 ;20,17 ;44,88 ;29,69 ;17,11 ;19,68 ;37,86 ;19,30 ;19,08 ;19,83
07/2018;32,61 ;20,04 ;43,98 ;29,71 ;17,01 ;19,64 ;38,11 ;19,99 ;19,01 ;19,68
08/2018;32,26 ;19,67 ;43,71 ;29,53 ;16,78 ;19,45 ;38,23 ;19,88 ;18,98 ;19,50
09/2018;32,18 ;19,66 ;43,77 ;29,33 ;16,66 ;18,81 ;38,11 ;18,54 ;18,82 ;19,40
10/2018;32,32 ;19,72 ;43,65 ;29,51 ;16,72 ;20,13 ;37,61 ;19,35 ;18,59 ;19,21
11/2018;32,15 ;19,69 ;43,29 ;29,42 ;16,69 ;20,09 ;36,78 ;20,14 ;18,31 ;19,04
12/2018;31,14 ;19,06 ;42,27 ;28,82 ;16,36 ;18,41 ;36,30 ;18,06 ;17,99 ;18,84
01/2019;31,85 ;19,35 ;42,88 ;29,16 ;16,37 ;20,01 ;35,94 ;18,32 ;18,02 ;18,71
02/2019;32,25 ;19,22 ;43,80 ;29,15 ;16,23 ;20,42 ;35,98 ;17,69 ;18,03 ;18,51
03/2019;32,06 ;19,02 ;43,74 ;29,04 ;16,05 ;19,67 ;35,75 ;16,68 ;18,15 ;18,37
04/2019;32,39 ;19,10 ;44,02 ;29,18 ;15,98 ;20,22 ;35,52 ;16,62 ;17,94 ;18,26
05/2019;32,12 ;18,76 ;43,76 ;29,08 ;15,77 ;19,49 ;34,79 ;16,38 ;17,84 ;18,07
06/2019;32,18 ;18,75 ;44,05 ;28,92 ;15,62 ;18,73 ;34,16 ;15,15 ;17,46 ;17,89
07/2019;32,01 ;18,62 ;43,44 ;28,98 ;15,57 ;19,11 ;33,84 ;15,41 ;17,25 ;17,69
08/2019;31,78 ;18,24 ;43,37 ;28,72 ;15,37 ;18,60 ;33,37 ;15,10 ;17,57 ;17,53
09/2019;31,38 ;17,86 ;43,13 ;28,26 ;15,04 ;17,60 ;32,71 ;14,15 ;16,70 ;17,29
10/2019;31,16 ;17,60 ;42,71 ;28,05 ;14,88 ;17,50 ;32,26 ;13,80 ;15,93 ;17,04
11/2019;30,75 ;17,43 ;42,20 ;27,66 ;14,67 ;16,88 ;31,88 ;13,34 ;15,34 ;16,88
12/2019;29,53 ;16,91 ;40,65 ;26,87 ;14,32 ;16,06 ;31,36 ;11,67 ;14,32 ;16,59
01/2020;29,33 ;17,04 ;39,72 ;27,07 ;14,24 ;16,74 ;31,31 ;11,16 ;14,30 ;16,44
02/2020;29,48 ;16,91 ;40,26 ;26,88 ;14,01 ;16,16 ;31,26 ;10,41 ;14,13 ;16,41
03/2020;28,82 ;16,23 ;40,73 ;25,86 ;13,39 ;15,53 ;30,89 ;9,78 ;13,61 ;16,27
04/2020;28,33 ;15,36 ;41,11 ;25,29 ;13,03 ;15,50 ;29,97 ;9,79 ;11,10 ;15,91
05/2020;27,24 ;14,58 ;39,93 ;24,76 ;12,78 ;15,28 ;28,58 ;9,18 ;10,38 ;15,56
06/2020;26,23 ;14,18 ;38,26 ;24,20 ;12,51 ;14,19 ;27,46 ;8,98 ;9,72 ;15,11
07/2020;25,78 ;13,69 ;37,85 ;23,73 ;12,29 ;13,65 ;26,81 ;8,71 ;9,35 ;14,45
08/2020;25,18 ;13,51 ;36,87 ;23,29 ;12,14 ;13,81 ;26,46 ;8,81 ;9,08 ;14,07
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
