Segmento,Ano,Quantidade
Banco Múltiplo,1978,0
Banco Comercial,1978,108
Banco de Desenvolvimento,1978,14
Caixas Econômicas,1978,6
Banco de Investimento,1978,40
Banco de Câmbio,1978,0
Banco Múltiplo,1979,0
Banco Comercial,1979,110
Banco de Desenvolvimento,1979,14
Caixas Econômicas,1979,5
Banco de Investimento,1979,40
Banco de Câmbio,1979,0
Banco Múltiplo,1980,0
Banco Comercial,1980,114
Banco de Desenvolvimento,1980,14
Caixas Econômicas,1980,5
Banco de Investimento,1980,40
Banco de Câmbio,1980,0
Banco Múltiplo,1981,0
Banco Comercial,1981,113
Banco de Desenvolvimento,1981,14
Caixas Econômicas,1981,5
Banco de Investimento,1981,40
Banco de Câmbio,1981,0
Banco Múltiplo,1982,0
Banco Comercial,1982,115
Banco de Desenvolvimento,1982,14
Caixas Econômicas,1982,5
Banco de Investimento,1982,40
Banco de Câmbio,1982,0
Banco Múltiplo,1983,0
Banco Comercial,1983,112
Banco de Desenvolvimento,1983,14
Caixas Econômicas,1983,5
Banco de Investimento,1983,40
Banco de Câmbio,1983,0
Banco Múltiplo,1984,0
Banco Comercial,1984,110
Banco de Desenvolvimento,1984,14
Caixas Econômicas,1984,5
Banco de Investimento,1984,40
Banco de Câmbio,1984,0
Banco Múltiplo,1985,0
Banco Comercial,1985,105
Banco de Desenvolvimento,1985,14
Caixas Econômicas,1985,5
Banco de Investimento,1985,36
Banco de Câmbio,1985,0
Banco Múltiplo,1986,0
Banco Comercial,1986,103
Banco de Desenvolvimento,1986,14
Caixas Econômicas,1986,5
Banco de Investimento,1986,38
Banco de Câmbio,1986,0
Banco Múltiplo,1987,0
Banco Comercial,1987,103
Banco de Desenvolvimento,1987,13
Caixas Econômicas,1987,5
Banco de Investimento,1987,43
Banco de Câmbio,1987,0
Banco Múltiplo,1988,8
Banco Comercial,1988,99
Banco de Desenvolvimento,1988,11
Caixas Econômicas,1988,5
Banco de Investimento,1988,55
Banco de Câmbio,1988,0
Banco Múltiplo,1989,114
Banco Comercial,1989,61
Banco de Desenvolvimento,1989,10
Caixas Econômicas,1989,4
Banco de Investimento,1989,35
Banco de Câmbio,1989,0
Banco Múltiplo,1990,166
Banco Comercial,1990,50
Banco de Desenvolvimento,1990,11
Caixas Econômicas,1990,2
Banco de Investimento,1990,26
Banco de Câmbio,1990,0
Banco Múltiplo,1991,181
Banco Comercial,1991,46
Banco de Desenvolvimento,1991,11
Caixas Econômicas,1991,2
Banco de Investimento,1991,22
Banco de Câmbio,1991,0
Banco Múltiplo,1992,192
Banco Comercial,1992,42
Banco de Desenvolvimento,1992,10
Caixas Econômicas,1992,2
Banco de Investimento,1992,20
Banco de Câmbio,1992,0
Banco Múltiplo,1993,199
Banco Comercial,1993,41
Banco de Desenvolvimento,1993,9
Caixas Econômicas,1993,2
Banco de Investimento,1993,18
Banco de Câmbio,1993,0
Banco Múltiplo,1994,204
Banco Comercial,1994,38
Banco de Desenvolvimento,1994,6
Caixas Econômicas,1994,2
Banco de Investimento,1994,19
Banco de Câmbio,1994,0
Banco Múltiplo,1995,200
Banco Comercial,1995,36
Banco de Desenvolvimento,1995,6
Caixas Econômicas,1995,2
Banco de Investimento,1995,18
Banco de Câmbio,1995,0
Banco Múltiplo,1996,190
Banco Comercial,1996,37
Banco de Desenvolvimento,1996,6
Caixas Econômicas,1996,2
Banco de Investimento,1996,23
Banco de Câmbio,1996,0
Banco Múltiplo,1997,174
Banco Comercial,1997,37
Banco de Desenvolvimento,1997,6
Caixas Econômicas,1997,2
Banco de Investimento,1997,22
Banco de Câmbio,1997,0
Banco Múltiplo,1998,170
Banco Comercial,1998,31
Banco de Desenvolvimento,1998,6
Caixas Econômicas,1998,2
Banco de Investimento,1998,21
Banco de Câmbio,1998,0
Banco Múltiplo,1999,164
Banco Comercial,1999,28
Banco de Desenvolvimento,1999,4
Caixas Econômicas,1999,1
Banco de Investimento,1999,22
Banco de Câmbio,1999,0
Banco Múltiplo,2000,159
Banco Comercial,2000,30
Banco de Desenvolvimento,2000,5
Caixas Econômicas,2000,1
Banco de Investimento,2000,20
Banco de Câmbio,2000,0
Banco Múltiplo,2001,146
Banco Comercial,2001,30
Banco de Desenvolvimento,2001,4
Caixas Econômicas,2001,1
Banco de Investimento,2001,20
Banco de Câmbio,2001,0
Banco Múltiplo,2002,139
Banco Comercial,2002,25
Banco de Desenvolvimento,2002,4
Caixas Econômicas,2002,1
Banco de Investimento,2002,24
Banco de Câmbio,2002,0
Banco Múltiplo,2003,139
Banco Comercial,2003,24
Banco de Desenvolvimento,2003,4
Caixas Econômicas,2003,1
Banco de Investimento,2003,22
Banco de Câmbio,2003,0
Banco Múltiplo,2004,141
Banco Comercial,2004,25
Banco de Desenvolvimento,2004,4
Caixas Econômicas,2004,1
Banco de Investimento,2004,22
Banco de Câmbio,2004,0
Banco Múltiplo,2005,136
Banco Comercial,2005,23
Banco de Desenvolvimento,2005,4
Caixas Econômicas,2005,1
Banco de Investimento,2005,20
Banco de Câmbio,2005,0
Banco Múltiplo,2006,137
Banco Comercial,2006,22
Banco de Desenvolvimento,2006,4
Caixas Econômicas,2006,1
Banco de Investimento,2006,18
Banco de Câmbio,2006,0
Banco Múltiplo,2007,135
Banco Comercial,2007,21
Banco de Desenvolvimento,2007,4
Caixas Econômicas,2007,1
Banco de Investimento,2007,17
Banco de Câmbio,2007,0
Banco Múltiplo,2008,138
Banco Comercial,2008,21
Banco de Desenvolvimento,2008,4
Caixas Econômicas,2008,1
Banco de Investimento,2008,18
Banco de Câmbio,2008,0
Banco Múltiplo,2009,145
Banco Comercial,2009,19
Banco de Desenvolvimento,2009,4
Caixas Econômicas,2009,1
Banco de Investimento,2009,16
Banco de Câmbio,2009,0
Banco Múltiplo,2010,139
Banco Comercial,2010,20
Banco de Desenvolvimento,2010,4
Caixas Econômicas,2010,1
Banco de Investimento,2010,15
Banco de Câmbio,2010,2
Banco Múltiplo,2011,139
Banco Comercial,2011,21
Banco de Desenvolvimento,2011,4
Caixas Econômicas,2011,1
Banco de Investimento,2011,14
Banco de Câmbio,2011,2
Banco Múltiplo,2012,138
Banco Comercial,2012,23
Banco de Desenvolvimento,2012,4
Caixas Econômicas,2012,1
Banco de Investimento,2012,14
Banco de Câmbio,2012,2
Banco Múltiplo,2013,132
Banco Comercial,2013,23
Banco de Desenvolvimento,2013,4
Caixas Econômicas,2013,1
Banco de Investimento,2013,14
Banco de Câmbio,2013,3
Banco Múltiplo,2014,130
Banco Comercial,2014,22
Banco de Desenvolvimento,2014,4
Caixas Econômicas,2014,1
Banco de Investimento,2014,14
Banco de Câmbio,2014,3
Banco Múltiplo,2015,132
Banco Comercial,2015,21
Banco de Desenvolvimento,2015,4
Caixas Econômicas,2015,1
Banco de Investimento,2015,13
Banco de Câmbio,2015,3
Banco Múltiplo,2016,133
Banco Comercial,2016,21
Banco de Desenvolvimento,2016,4
Caixas Econômicas,2016,1
Banco de Investimento,2016,14
Banco de Câmbio,2016,3
Banco Múltiplo,2017,132
Banco Comercial,2017,21
Banco de Desenvolvimento,2017,4
Caixas Econômicas,2017,1
Banco de Investimento,2017,13
Banco de Câmbio,2017,3
Banco Múltiplo,2018,131
Banco Comercial,2018,20
Banco de Desenvolvimento,2018,4
Caixas Econômicas,2018,1
Banco de Investimento,2018,12
Banco de Câmbio,2018,4
Banco Múltiplo,2019,132
Banco Comercial,2019,20
Banco de Desenvolvimento,2019,4
Caixas Econômicas,2019,1
Banco de Investimento,2019,11
Banco de Câmbio,2019,5
